conversations
"[{'from': 'human', 'value': 'Correct this sentence: These arerthe quetMios n a debaWe aou the internWt'}, {'from': 'gpt', 'value': 'These are the questions in a debate about the internet'}]"
"[{'from': 'human', 'value': 'Correct this sentence: This would lad to an apprxoimadely twofodl dwcrease in he causalty rate'}, {'from': 'gpt', 'value': 'This would lead to an approximately twofold decrease in the casualty rate'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Eventually humans will rigure ouf a way tog et rdi pof sleep'}, {'from': 'gpt', 'value': 'Eventually humans will figure out a way to get rid of sleep'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Atw hich point we may need a whole Inew sort f sleep rwevolution'}, {'from': 'gpt', 'value': 'At which point we may need a whole new sort of sleep revolution'}]"
"[{'from': 'human', 'value': 'Correct this sentence: GooglRs band value rose by 15 to 1e07bn to take Lecond place followeH by CoacCol aup 3 to 81'}, {'from': 'gpt', 'value': 'Googles brand value rose by 15 to 107bn to take second place followed by CocaCola up 3 to 81'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ybn and Microsoft 45'}, {'from': 'gpt', 'value': '2bn and Microsoft 45'}]"
"[{'from': 'human', 'value': 'Correct this sentence: acebooki s the iggtt riser ihn hes chart increasing it sbrand vakue by S86 to 14'}, {'from': 'gpt', 'value': 'Facebook is the biggest riser in the chart increasing its brand value by 86 to 14'}]"
"[{'from': 'human', 'value': 'Correct this sentence: You couldnt dream of a more appropriIate logo Just knowlge hopea an inarcy Jaoff said'}, {'from': 'gpt', 'value': 'You couldnt dream of a more appropriate logo lust knowledge hope and anarchy Janoff said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: dAplmaAes a lotvs money because it has a very strong brand he said'}, {'from': 'gpt', 'value': 'Apple makes a lot of money because it has a very strong brand he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: TOhere isa very strong correlatUion between branding Xajd prowitability'}, {'from': 'gpt', 'value': 'There is a very strong correlation between branding and profitability'}]"
"[{'from': 'human', 'value': 'Correct this sentence: While many tehnrology companciesr oqe up the chart there were big fallersL too'}, {'from': 'gpt', 'value': 'While many technology companies rose up the chart there were big fallers too'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Fdinnish mobile pohe company Nokia dropped 41 places to 98th at 4'}, {'from': 'gpt', 'value': 'Finnish mobile phone company Nokia dropped 41 places to 98th at 4'}]"
"[{'from': 'human', 'value': 'Correct this sentence: bn just ahaed ofN intendo n 100thplace dXown 33'}, {'from': 'gpt', 'value': '1bn just ahead of Nintendo in 100th place down 33'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Theyre both only jusQ in the chartn ow Hayle said'}, {'from': 'gpt', 'value': 'Theyre both only just in the chart now Hayles said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It shosthe Bmportance of getting innovattion right'}, {'from': 'gpt', 'value': 'It shows the importance of getting innovation right'}]"
"[{'from': 'human', 'value': 'Correct this sentence: If you dont keep pace it is very pVenalizing'}, {'from': 'gpt', 'value': 'If you dont keep pace it is very penalizing'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The highest placed British brands are HSBC 33rd ShEll 65th and Burberry 73rd'}, {'from': 'gpt', 'value': 'The highest placed British brands are HSBC 33rd Shell 65th and Burberry 73rd'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ohterfsahion brands in the top 100 niclVdea Bwoss Prada and RalphLaurVen'}, {'from': 'gpt', 'value': 'Other fashion brands in the top 100 include Boss Prada and Ralph Lauren'}]"
"[{'from': 'human', 'value': 'Correct this sentence: In a seneathey increasRngly expect brands to knowthem'}, {'from': 'gpt', 'value': 'In a sense they increasingly expect brands to know them'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Fr somde iGts a wlcome change from the unreletin gdarkness lf wnter'}, {'from': 'gpt', 'value': 'For some its a welcome change from the unrelenting darkness of winter'}]"
"[{'from': 'human', 'value': 'Correct this sentence: This year that mean eating at abou 1'}, {'from': 'gpt', 'value': 'This year that means eating at about 1'}]"
"[{'from': 'human', 'value': 'Correct this sentence: 30am before the sun rises and breaking his fPst at about 1pm when the sun ets'}, {'from': 'gpt', 'value': '30am before the sun rises and breaking his fast at about 11pm when the sun sets'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The only reason to stop would be ifit hurts y health Karim said'}, {'from': 'gpt', 'value': 'The only reason to stop would be if it hurts my health Karim said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Its lonU days but more manaoeable'}, {'from': 'gpt', 'value': 'Its long days but more manageable'}]"
"[{'from': 'human', 'value': 'Correct this sentence: If IU fast Yellokwnife or Eimonton times my son might say Papa you are really insane'}, {'from': 'gpt', 'value': 'If I fast Yellowknife or Edmonton times my son might say Papa you are really insane'}]"
"[{'from': 'human', 'value': 'Correct this sentence: What aeryou doing he said'}, {'from': 'gpt', 'value': 'What are you doing he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: WA urrently have 2y hours a day of sun said wAhmad Alkhalf'}, {'from': 'gpt', 'value': 'We currently have 24 hours a day of sun said Ahmad Alkhalaf'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Theres no sunrise orq sunseyt'}, {'from': 'gpt', 'value': 'Theres no sunrise or sunset'}]"
"[{'from': 'human', 'value': 'Correct this sentence: My fisrt RamadYn ere was in December'}, {'from': 'gpt', 'value': 'My first Ramadan here was in December'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Theres no sun at that timeits xark all dayand niglht'}, {'from': 'gpt', 'value': 'Theres no sun at that time its dark all day and night'}]"
"[{'from': 'human', 'value': 'Correct this sentence: So we used EdmontoSn timg'}, {'from': 'gpt', 'value': 'So we used Edmonton time'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Yuore sIppoEsed to bXeak yorr fast whe nits dusk and we eat wen the sun is out'}, {'from': 'gpt', 'value': 'Youre supposed to break your fast when its dusk and we eat when the sun is out'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Its not sualt  ohake iftar th emeal breaing the fast whven the sun issuphep said'}, {'from': 'gpt', 'value': 'Its not usual to have iftar the meal breaking the fast when the sun is up he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: We make a soupBOor curryh Xbut instead of uUsing beef we use reineer'}, {'from': 'gpt', 'value': 'We make a soup or curry  but instead of using beef we use reindeer'}]"
"[{'from': 'human', 'value': 'Correct this sentence: But hys efvforts will be rewarded yearslfrom now said Kim thanks to the lunarcalendar'}, {'from': 'gpt', 'value': 'But his efforts will be rewarded years from now said Karim thanks to the lunar calendar'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ill fpollow those hourl toohe said with a laugmh'}, {'from': 'gpt', 'value': 'Ill follow those hours too he said with a laugh'}]"
"[{'from': 'human', 'value': 'Correct this sentence: MOOCs are the Vnewest bg fhing in the quest tForenable higre education sor all'}, {'from': 'gpt', 'value': 'MOOCs are the newest big thing in the quest to enable higher education for all'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Though they may be popular to start qf Cwith MOOys have diCrer completionr ates observes Brabon'}, {'from': 'gpt', 'value': 'Though they may be popular to start off with MOOCs have dire completion rates observes Brabon'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Froh is vampir efiction course that meant 1000 enrolments an 31 cSompleyiUns'}, {'from': 'gpt', 'value': 'For his vampire fiction course that meant 1000 enrolments and 31 completions'}]"
"[{'from': 'human', 'value': 'Correct this sentence: And almost all omf those had a firut degreeo had Meen educated too degreel ovel he says'}, {'from': 'gpt', 'value': 'And almost all of those had a first degree or had been educated to degree level he says'}]"
"[{'from': 'human', 'value': 'Correct this sentence: So teh MOOCs tren dmay not be openign up HE to sectonrs of the population it ehJasnt rezached to date'}, {'from': 'gpt', 'value': 'So the MOOCs trend may not be opening up HE to sectors of the population it hasnt reached to date'}]"
"[{'from': 'human', 'value': 'Correct this sentence: This isinstead approximaae by peer support such Pas online dsicussion forums'}, {'from': 'gpt', 'value': 'This is instead approximated by peer support such as online discussion forums'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Mike ShYrplps chair of Educatiovnal Technology doesnt buq into tmhHat cynicism'}, {'from': 'gpt', 'value': 'Mike Sharples chair of Educational Technology doesnt buy into that cynicism'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He said ItUhere was no ocGar procqess in plac to handle th ecosts involved'}, {'from': 'gpt', 'value': 'He said there was no clear process in place to handle the costs involved'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Tle AccorvdK also legally binds brands toY enure that workers are paid durin actoroy closurez'}, {'from': 'gpt', 'value': 'The Accord also legally binds brands to ensure that workers are paid during factory closures'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Thsi was jlways going to be a topic of negotiation'}, {'from': 'gpt', 'value': 'This was always going to be a topic of negotiation'}]"
"[{'from': 'human', 'value': 'Correct this sentence: There was bviuoly goong to e Risrupztion'}, {'from': 'gpt', 'value': 'There was obviously going to be disruption'}]"
"[{'from': 'human', 'value': 'Correct this sentence: If there was no disruGption there wQquld be no change she said'}, {'from': 'gpt', 'value': 'If there was no disruption there would be no change she said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It ha ssoAar identifTied five factories in four buildings where productiodineedeI to be susbended'}, {'from': 'gpt', 'value': 'It has so far identified five factories in four buildings where production needed to be suspended'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The Alliance is sharing the workersslary along wth entreprenurPs so nowtYhere i a big confusion'}, {'from': 'gpt', 'value': 'The Alliance is sharing the workers salary along with entrepreneurs so now there is a big confusion'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The small suace is set up to look like a classroom'}, {'from': 'gpt', 'value': 'The small space is set up to look like a classroom'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The children wFho leaKn in this threesquareOmetre room are the luVky ones howevr'}, {'from': 'gpt', 'value': 'The children who learn in this threesquaremetre room are the lucky ones however'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Thye have escapeGd Forking in the Xactries opposite'}, {'from': 'gpt', 'value': 'They have escaped working in the factories opposite'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The classroom is one ofV 23 urban deveopment ecntre hat OSHAY has seh up acros the capitalU'}, {'from': 'gpt', 'value': 'The classroom is one of 23 urban development centres that SOHAY has set up across the capital'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Alamin ten who SuAsed to work i a plastic factory attends oneB of thX centres'}, {'from': 'gpt', 'value': 'Alamin ten who used to work in a plastic factory attends one of the centres'}]"
"[{'from': 'human', 'value': 'Correct this sentence: His father isa street bseller and his mother aparttime doamestic worker'}, {'from': 'gpt', 'value': 'His father is a street seller and his mother a parttime domestic worker'}]"
"[{'from': 'human', 'value': 'Correct this sentence: They are all happy htat hes nowinschool anYd aAay from hazaQdous work'}, {'from': 'gpt', 'value': 'They are all happy that hes now in school and away from hazardous work'}]"
"[{'from': 'human', 'value': 'Correct this sentence: His friend Rabi says he wants to forge is passt i nthe fhactory'}, {'from': 'gpt', 'value': 'His friend Rabi says he wants to forget his past in the factory'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I like school KeGsays'}, {'from': 'gpt', 'value': 'I like school he says'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Getting working chilOre into formal eucation is really very challeging says Mamun'}, {'from': 'gpt', 'value': 'Getting working children into formal education is really very challenging says Mamun'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Their psychological anM physicla conitiYon is not like other cildre nin society'}, {'from': 'gpt', 'value': 'Their psychological and physical condition is not like other children in society'}]"
"[{'from': 'human', 'value': 'Correct this sentence: After thJey leave work they sometimes fFind it difficulH to make friends and adapt ty schoTol'}, {'from': 'gpt', 'value': 'After they leave work they sometimes find it difficult to make friends and adapt to school'}]"
"[{'from': 'human', 'value': 'Correct this sentence: In this contexq itzs important to wordk with schoos s tuhey have more sensitivity nd care about themx'}, {'from': 'gpt', 'value': 'In this context its important to work with schools so they have more sensitivity and care about them'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Her family liveH in heslum and erSpafents cant survivpe without the Income their soi bring home'}, {'from': 'gpt', 'value': 'Her family live in the slum and her parents cant survive without the income their sons bring home'}]"
"[{'from': 'human', 'value': 'Correct this sentence: About 780 moreqGhildren qre prepaig to enter school in 2017'}, {'from': 'gpt', 'value': 'About 780 more children are preparing to enter school in 2017'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The xolicy amed to eradicate all forms of chd labour by 2015 but ZhaWt taret was mssed'}, {'from': 'gpt', 'value': 'The policy aimed to eradicate all forms of child labour by 2015 but that target was missed'}]"
"[{'from': 'human', 'value': 'Correct this sentence: 7 millDion children underXthat age are empolyGed in te infoxrma lsxector and 1'}, {'from': 'gpt', 'value': '7 million children under that age are employed in the informal sector and 1'}]"
"[{'from': 'human', 'value': 'Correct this sentence: 3Nmllion aged five to 17 work in hazardousindustriOs'}, {'from': 'gpt', 'value': '3 million aged five to 17 work in hazardous industries'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Th organiation talked t ocommunity members about whu it was important o get childreIn into school'}, {'from': 'gpt', 'value': 'The organization talked to community members about why it was important to get children into school'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The ultimate changemakxerH are the community people sayfs aNsrin'}, {'from': 'gpt', 'value': 'The ultimate changemakers are the community people says Nasrin'}]"
"[{'from': 'human', 'value': 'Correct this sentence: She asdds that people liring in qslums afce threats of evictin olice raids andE displWacement'}, {'from': 'gpt', 'value': 'She adds that people living in slums face threats of eviction police raids and displacement'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Th enatinoal plan of actionforZhildren does not recdgniNed the needs of streew ichilren says NasrBni'}, {'from': 'gpt', 'value': 'The national plan of action for children does not recognize the needs of street children says Nasrin'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Legislatvief measurXes are limited'}, {'from': 'gpt', 'value': 'Legislative measures are limited'}]"
"[{'from': 'human', 'value': 'Correct this sentence: AfteT the cross gehir school age it is reajly very dihffidupt to admit them into school says MamuZn'}, {'from': 'gpt', 'value': 'After they cross their school age it is really very difficult to admit them into school says Mamun'}]"
"[{'from': 'human', 'value': 'Correct this sentence: eW zare working to bloUk teh child labour flow'}, {'from': 'gpt', 'value': 'We are working to block the child labour flow'}]"
"[{'from': 'human', 'value': 'Correct this sentence: As JKF said our problems are manmae and can be solved Ey man'}, {'from': 'gpt', 'value': 'As JFK said our problems are manmade and can be solved by man'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Reject pessimism cynicism and know that rodlress is possile'}, {'from': 'gpt', 'value': 'Reject pessimism cynicism and know that progress is possible'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Wrogrwss is not inevitablt it requires satruggfe visciqpline andfaith'}, {'from': 'gpt', 'value': 'Progress is not inevitable it requires struggle discipline and faith'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Obema also said You should feel encoupaged social attitudes are changing'}, {'from': 'gpt', 'value': 'Obama also said You should feel encouraged social attitudes are changing'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Im proudI thinkOIve been true to myself Uduring this procexss'}, {'from': 'gpt', 'value': 'Im proud I think Ive been true to myself during this process'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Dr Martin LutherKing says the arc of the moral universe is olng but bendPs towardsj ustice'}, {'from': 'gpt', 'value': 'Dr Martin Luther King says the arc of the moral universe is long but bends towards justice'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Oliver Sidorczuk 26 said Everyone is extremely excite to listen to what he has tos ay'}, {'from': 'gpt', 'value': 'Oliver Sidorczuk 26 said Everyone is extremely excited to listen to what he has to say'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Obama said that althuuh tfhaere were people withh crazb ideoloogy pluraiismYwas important'}, {'from': 'gpt', 'value': 'Obama said that although there were people with crazy ideology pluralism was important'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Aso the Vthingdhe sai Obou being a good leader and finding great talebn'}, {'from': 'gpt', 'value': 'Also the thing he said about being a good leader and finding great talent'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ltaer Obama met Jeremy Corbyn who said they had an excellent 90minue discussino'}, {'from': 'gpt', 'value': 'Later Obama met Jeremy Corbyn who said they had an excellent 90minute discussion'}]"
"[{'from': 'human', 'value': 'Correct this sentence: After teh meeting Obama joined Cameron to play golf at thepxGrxove im ChandlerDnCross Hertfordshire'}, {'from': 'gpt', 'value': 'After the meeting Obama joined Cameron to play golf at the Grove in Chandlers Cross Hertfordshire'}]"
"[{'from': 'human', 'value': 'Correct this sentence: But lhat was not all'}, {'from': 'gpt', 'value': 'But that was not all'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The sme datRa led tem Aj uncover potentially Fsensitvie ineormation about somei ndividuals'}, {'from': 'gpt', 'value': 'The same data led them to uncover potentially sensitive information about some individuals'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Other dta pointed o  new prengancy anda perKson witqh multple cellekrosif'}, {'from': 'gpt', 'value': 'Other data pointed to a new pregnancy and a person with multiple sclerosis'}]"
"[{'from': 'human', 'value': 'Correct this sentence: That maeks it difficult for people with strong oinions about these proigramEes to fight them'}, {'from': 'gpt', 'value': 'That makes it difficult for people with strong opinions about these programmes to fight them'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Nw we hakveu hard evidenceTwe cun point to that diCdnt exist int he past he said'}, {'from': 'gpt', 'value': 'Now we have hard evidence we can point to that didnt exist in the past he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: In all te reyearcher sgVcthered metadata on mdore than 250000 calls ando ver 1'}, {'from': 'gpt', 'value': 'In all the researchers gathered metadata on more than 250000 calls and over 1'}]"
"[{'from': 'human', 'value': 'Correct this sentence: A call from the targe indivviduals phone to another numbPr wvas oneshop'}, {'from': 'gpt', 'value': 'A call from the target individuals phone to another number was one hop'}]"
"[{'from': 'human', 'value': 'Correct this sentence: From thWt phone tto another was two hope'}, {'from': 'gpt', 'value': 'From that phone to another was two hops'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The Krecords available to analysts stretcxhde bck for fiveyeSawrs'}, {'from': 'gpt', 'value': 'The records available to analysts stretched back for five years'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The collection window das nowbeesn restricted tjo two hops aed A8 months at most'}, {'from': 'gpt', 'value': 'The collection window has now been restricted to two hops and 18 months at most'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Throgh autbmyatic and manual searches they identified 82 of peodpleps names'}, {'from': 'gpt', 'value': 'Through automatic and manual searches they identified 82 of peoples names'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The Jame echnique gavePthem teh names of nbusinesses the people hadcalledl'}, {'from': 'gpt', 'value': 'The same technique gave them the names of businesses the people had called'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The scientists nwtdelvedX into more pezrsonal teriWtor'}, {'from': 'gpt', 'value': 'The scientists next delved into more personal territory'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Irom thee they pieced together some extraordaianry vignettesA from peolpes lives'}, {'from': 'gpt', 'value': 'From these they pieced together some extraordinary vignettes from peoples lives'}]"
"[{'from': 'human', 'value': 'Correct this sentence: We always suspected that of course bu heres tFhedata'}, {'from': 'gpt', 'value': 'We always suspected that of course but heres the data'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Pigeon skeYetons lde namong sahttered mirrors and water streams hoough broken cornicing'}, {'from': 'gpt', 'value': 'Pigeon skeletons lie among shattered mirrors and water streams through broken cornicing'}]"
"[{'from': 'human', 'value': 'Correct this sentence: TheiW Grecian columnN are crackings int opieces andm soaictil simmiing poods are fillFde withrutble'}, {'from': 'gpt', 'value': 'Their Grecian columns are cracking into pieces and mosaictiled swimming pools are filled with rubble'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Nature haF taken over tothe extet that owls hae moved in'}, {'from': 'gpt', 'value': 'Nature has taken over to the extent that owls have moved in'}]"
"[{'from': 'human', 'value': 'Correct this sentence: WihlV moeD and more people struggle to get n to LoNdons property ladder as house prices rise at 11'}, {'from': 'gpt', 'value': 'While more and more people struggle to get on to Londons property ladder as house prices rise at 11'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Melal giUles block the windCows ofl anoIHher which zas ben sold for 20m'}, {'from': 'gpt', 'value': 'Metal grilles block the windows of another which has been sold for 20m'}]"
"[{'from': 'human', 'value': 'Correct this sentence: But that doesnt stop te prices going up'}, {'from': 'gpt', 'value': 'But that doesnt stop the prices going up'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Iranians fed here after hte fall of the shah'}, {'from': 'gpt', 'value': 'Iranians fled here after the fall of the shah'}]"
"[{'from': 'human', 'value': 'Correct this sentence: HoweKver in th groqnds Ff the empty manszons sOtone fountains crpmble and lafns shave become bogs'}, {'from': 'gpt', 'value': 'However in the grounds of the empty mansions stone fountains crumble and lawns have become bogs'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Mosr grozs through shattered bGicks and mirrore tilFs are scatetred crosuP a bathrHoov'}, {'from': 'gpt', 'value': 'Moss grows through shattered bricks and mirrored tiles are scattered across a bathroom'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The twmimng pol s filled with a foot o brackish water and has flwers growing Bthrough its tiles'}, {'from': 'gpt', 'value': 'The swimming pool is filled with a foot of brackish water and has flowers growing through its tiles'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Wooden slats bulge away from the sanua'}, {'from': 'gpt', 'value': 'Wooden slats bulge away from the sauna'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Unqopened woode ncrates mqrked bulleB proof lgassr eveal the security fears of tnhe preUious owners'}, {'from': 'gpt', 'value': 'Unopened wooden crates marked bullet proof glass reveal the security fears of the previous owners'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Todayvery few poeple live on The BishGps Avenue full time'}, {'from': 'gpt', 'value': 'Today very few people live on The Bishops Avenue full time'}]"
"[{'from': 'human', 'value': 'Correct this sentence: A yecurity guard phtrolling the pavement utside one mansion snaid that tOe ownerslwnrenot there'}, {'from': 'gpt', 'value': 'A security guard patrolling the pavement outside one mansion said that the owners were not there'}]"
"[{'from': 'human', 'value': 'Correct this sentence: TMtsn to a neighyourly Uplace where you cBn chZat over ths fence he said'}, {'from': 'gpt', 'value': 'Its not a neighbourly place where you can chat over the fence he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: To behonst I lhave never seen whRt my GneighboZrslonok like'}, {'from': 'gpt', 'value': 'To be honest I have never seen what my neighbours look like'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Next door a Saudi princess spent 35m on a new osue and Ive neTer seon her'}, {'from': 'gpt', 'value': 'Next door a Saudi princess spent 35m on a new house and Ive never seen her'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Th other half who knows if theFy come or not'}, {'from': 'gpt', 'value': 'The other half who knows if they come or not'}]"
"[{'from': 'human', 'value': 'Correct this sentence: If youbuildJa big house ad try an sell for 30m to 40m it wont sell he saia'}, {'from': 'gpt', 'value': 'If you build a big house and try and sell for 30m to 40m it wont sell he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Locals wonF buy ad so yRu have to briag Qn oveets buyers'}, {'from': 'gpt', 'value': 'Locals wont buy and so you have to bring in overseas buyers'}]"
"[{'from': 'human', 'value': 'Correct this sentence: He saidBthe land price would be proihbitive'}, {'from': 'gpt', 'value': 'He said the land price would be prohibitive'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Vey ealthy people own porperty there he saWd'}, {'from': 'gpt', 'value': 'Very wealthy people own property there he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Sometimvgs they live in them tSnd somtimes tey dont'}, {'from': 'gpt', 'value': 'Sometimes they live in them and sometimes they dont'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I got a Dyson vcuum Qleaner but I dont even konMw if Ilwant it'}, {'from': 'gpt', 'value': 'I got a Dyson vacuum cleaner but I dont even know if I want it'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It was mnetal in there'}, {'from': 'gpt', 'value': 'It was mental in there'}]"
"[{'from': 'human', 'value': 'Correct this sentence: It was absotlutely disgsting disgustinga'}, {'from': 'gpt', 'value': 'It was absolutely disgusting disgusting'}]"
"[{'from': 'human', 'value': 'Correct this sentence: But so aiy people pushed in the queue qe didnt have a rhance she said'}, {'from': 'gpt', 'value': 'But so many people pushed in the queue we didnt have a chance she said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: The poor woman who wsa second in tPe queue was pushed out by a crow of ouths'}, {'from': 'gpt', 'value': 'The poor woman who was second in the queue was pushed out by a crowd of youths'}]"
"[{'from': 'human', 'value': 'Correct this sentence: She didnt get anytingN'}, {'from': 'gpt', 'value': 'She didnt get anything'}]"
"[{'from': 'human', 'value': 'Correct this sentence: PeHople wetre behaHing like animalsF it xa shorriblZe she said'}, {'from': 'gpt', 'value': 'People were behaving like animals  it was horrible she said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I only saw two security guMards'}, {'from': 'gpt', 'value': 'I only saw two security guards'}]"
"[{'from': 'human', 'value': 'Correct this sentence: rustatek with not being ble to buy aw Blaupunkt 40 Vr euceU frojm 299'}, {'from': 'gpt', 'value': 'Frustrated with not being able to buy a Blaupunkt 40 TV reduced from 299'}]"
"[{'from': 'human', 'value': 'Correct this sentence: 99 aggerty rusqed to pick upta Dyson Anima aVc downo from 319'}, {'from': 'gpt', 'value': '99 Haggerty rushed to pick up a Dyson Animal Vac down from 319'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I dont even knwo hw much it costs I dont know even know if Im going to buy i'}, {'from': 'gpt', 'value': 'I dont even know how much it costs I dont know even know if Im going to buy it'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I just wanted somweVthing she said'}, {'from': 'gpt', 'value': 'I just wanted something she said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Thrre areN lads ni there with tiree four five tellies'}, {'from': 'gpt', 'value': 'There are lads in there with three four five tellies'}]"
"[{'from': 'human', 'value': 'Correct this sentence: One of those lads nas Andy Blacketp 30 a nestate agaect who hadD tuo trolleys full of bargains'}, {'from': 'gpt', 'value': 'One of those lads was Andy Blackett 30 an estate agent who had two trolleys full of bargains'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I ot two cSffee makers two tablhets two TVs aqnd a stereo hie saif'}, {'from': 'gpt', 'value': 'I got two coffee makers two tablets two TVs and a stereo he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: I coulPnt tell Qou the prices bUu Ik know theyr bagraina'}, {'from': 'gpt', 'value': 'I couldnt tell you the prices but I know theyre bargains'}]"
"[{'from': 'human', 'value': 'Correct this sentence: But his mat eHenry Jicher a 19yearold student wsant as duccesful'}, {'from': 'gpt', 'value': 'But his mate Henry Fischer a 19yearold student wasnt as successful'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Someone snQatched my teAzly from mr  its cos Im thWe smaller one'}, {'from': 'gpt', 'value': 'Someone snatched my telly from me  its cos Im the smaller one'}]"
"[{'from': 'human', 'value': 'Correct this sentence: BlCackFtt Fische rand some mates hda draiIn to Sainsburys at 12'}, {'from': 'gpt', 'value': 'Blackett Fischer and some mates had driven to Sainsburys at 12'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Tesco was scak jso we came hereinsead lxacketQt said'}, {'from': 'gpt', 'value': 'Tesco was scary so we came here instead Blackett said'}]"
"[{'from': 'human', 'value': 'Correct this sentence:  bought the mfor 2I0'}, {'from': 'gpt', 'value': 'I bought them for 250'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Ill sell Hit to you fr 350 300 carsh he said'}, {'from': 'gpt', 'value': 'Ill sell it to you for 350 300 cash he said'}]"
"[{'from': 'human', 'value': 'Correct this sentence: Further back in tDe queue Christine all 2 wasXnt impressed'}, {'from': 'gpt', 'value': 'Further back in the queue Christine Ball 62 wasnt impressed'}]"
